Owner,total_capacity,number_of_plants,number_of_countries,number_of_regions,avg_litpop_value_usd,largest_plant,Latitude,Longitude
Fasa Steel Complex Co,1500.0,1,1,1,,Fasa Steel Complex Fars,28.977453,53.867836
Butia Iranian Steel Co,1500.0,1,1,1,,Butia Iranian Steel Kerman plant,30.4912,56.8214
Ningxia Xinghua Iron and Steel Co Ltd,1500.0,1,1,1,1044069289.8932406,Ningxia Xinghua Iron and Steel Co Ltd,39.309571,106.79093
G J Steel PCL,1500.0,1,1,1,,Nippon Chonburi steel plant,13.054668,101.078842
Pasargad Steel Complex Co,1500.0,1,1,1,,Pasargad Steel Complex Fars,29.191019,52.845405
Mount Zynai 0304 Mining Corp,1500.0,1,1,1,,Mount Zynai Zamboanga Sibugay steel plant,7.716994,122.998671
Daido Steel Co Ltd,1500.0,1,1,1,27104407629.54368,Daido Steel Chita plant (Tokai),35.016404,136.864744
Kroman Celik Sanayii AS,1500.0,1,1,1,,Kroman Steel Darica plant,40.801101,29.374115
Gerdau Corsa SAPI de CV,1500.0,2,1,1,,Gerdau Corsa Ciudad Sahagún steel plant,19.753326,-98.596483
Chart and Capstone Integrated Ltd,1500.0,1,1,1,,Kogi Steel Project,7.69346,6.806937
Guangxi Wuzhou Jinhai Stainless Steel Co Ltd,1500.0,1,1,1,607979569.3111423,Guangxi Wuzhou Jinhai Stainless Steel Co Ltd,23.518229,111.235509
Century Steel Pte Ltd,1500.0,1,1,1,,Century Steel Khyber plant,34.072714,72.141584
Triangul Metals Tebinbulak JSC,1500.0,2,1,1,,Metallurgical Cluster Gallaaral steel plant,40.012819,67.573496
Perwaja Steel Sdn Bhd,1500.0,1,1,1,,Perwaja Kemaman Steel plant,4.264364,103.461728
Pomina Steel JSC,1500.0,2,1,1,,Pomina Steel 3 Phu My plant,10.577042,107.040324
Aichi Steel Corp,1495.0,1,1,1,110186877555.41345,Aichi Steel Chita plant (Tokai),35.044558,136.900772
Hospet Steels Ltd,1461.0,1,1,1,204245873.82605147,Hospet Steels Hospet plant,15.339055,76.251696
Arcelormittal Olaberria-Bergara SL,1450.0,1,1,1,,ArcelorMittal Olaberria-Bergara (Olaberria) steel plant,43.03829,-2.219625
Compania Siderurgica Huachipato SA,1450.0,1,1,1,,CAP Acero Huachipato steel plant,-36.746421,-73.129171
Torbat Heydarieh Steel Co,1450.0,1,1,1,,Torbat Heydarieh Khorasan Steel Complex,35.594882,59.205984
Acciai Speciali Terni SpA,1450.0,1,1,1,,Finarvedi Acciai Speciali Terni steel plant,42.564752,12.66936
Honghe Iron and Steel Co Ltd,1422.0,1,1,1,1145833787.5269697,WISCO Group Kunming Steel Co Ltd Honghe Iron and Steel Company,23.470733,103.272784
UMK-Stal LLC,1420.0,2,1,1,,Nadezhdinski Metallurgical Plant,59.593854,60.591196
Vyksunskiy Metallurgicheskiy Zavod AO,1400.0,1,1,1,,OMK Vyksa Casting and Rolling Complex,55.382815,42.188954
Heping Yueshen Steel Industrial Co Ltd,1400.0,1,1,1,922848789.0805657,Heping Yueshen Steel Industry Co Ltd,24.49796,114.93888
Shandong Luli Steel Co Ltd,1400.0,1,1,1,309288577.011094,Shandong Luli Steel Co Ltd,36.970875,118.955444
ESF Elbe-Stahlwerke Feralpi GmbH,1400.0,1,1,1,,ESF Elbe Stahlwerke Feralpi Riesa steel plant,51.3128,13.280386
Meghna Re-rolling and Steel Mills Ltd,1400.0,1,1,1,,Meghna Re-rolling and Steel Mills steel plant,23.585487,90.648875
Khorasan Steel Complex Co,1400.0,1,1,1,,Khorasan Steel Complex,36.3445,58.67875
Southern Steel Bhd,1400.0,1,1,1,,Southern Steel Prai Penang plant,5.399453,100.382177
Stomana Industry AD,1400.0,1,1,1,,Stomana Industry Pernik steel plant,42.595629,23.093095
Yunnan Qujing Iron and Steel Group Yanggang Iron and Steel Co Ltd,1400.0,1,1,1,135064897.5047968,Yunnan Qujing Iron and Steel Group Yanggang Iron and Steel Co Ltd,25.308777,103.876391
Lech Stahlwerke GmbH,1400.0,1,1,1,,Lech Stahlwerke Meitingen steel plant,48.512051,10.855292
Hebei Xinghua Iron and Steel Co Ltd,1400.0,1,1,1,2791499561.2492723,Hebei Xinghua Iron and Steel Co Ltd,36.744936,114.111602
Yantai Walsin Stainless Steel Co Ltd,1400.0,1,1,1,18963550948.945488,Yantai Walsin Stainless Steel Co Ltd,37.548627,121.277488
Yunnan Qujing Iron and Steel Group Co Ltd,1400.0,1,1,1,54580293.24053438,Yunnan Qujing Iron and Steel Group Fenghuang Steel Co Ltd,26.275342,104.168311
Abul Khair Steel Ltd,1400.0,1,1,1,,Abul Khair Steel Sitakunda plant,22.472008,91.734827
Riva Acciaio SpA,1380.0,2,1,1,,Riva Acciaio Caronno Pertusella steel plant,45.598187,9.035447
Grupo Acerero SA de CV,1375.0,1,1,1,,Grupo Acerero steel plant,22.087328,-100.901902
Captain Steel India Ltd,1352.0,2,1,1,1860795451.2235923,Captain Steel Garbeta steel plant,22.855859,87.345018
Qinglong Manzhu Autonomous County Delong Casting Industry Development Co Ltd,1350.0,1,1,1,14286152.175898882,Qinglong Manchu Autonomous County Delong Foundry Development Co Ltd,40.427008,119.219855
Sovel SA,1350.0,1,1,1,,Sovel Almyros steel plant,39.169632,22.840216
Tongling Fuxin Iron & Steel Co Ltd,1350.0,1,1,1,6386761084.181079,Tongling Fuxin Iron and Steel Co Ltd,30.907561,117.772866
Tata Steel (Thailand) PCL,1350.0,2,1,1,,Tata Steel Chonburi steel plant,13.052398,101.086795
Tianjin Tianzhong Giant Heavy Industry Co Ltd,1350.0,1,1,1,1572778754.3996863,Tianjin Tianzhong Giant Heavy Industry Co Ltd,39.501442,118.719554
Inner Mongolia Desheng Metal Products Co Ltd,1350.0,1,1,1,111523145.34028804,Inner Mongolia Desheng Metal Products Co Ltd,39.867015,106.890377
Hebei Huaxin Special Steel Co Ltd,1350.0,1,1,1,1439683054.8066726,Hebei Huaxin Special Steel Co Ltd,36.53048,114.245262
Jiangsu Delong Nickel Industry Co Ltd,1350.0,1,1,1,890142435.6329616,Jiangsu Delong Nickel Industry Co Ltd,34.443469,119.816574
Wulanhot Iron & Steel Co Ltd,1350.0,1,1,1,3362380016.537606,Wulanhot Steel Co Ltd,46.055685,122.063282
Mindong Saiqi Economic Development Zone Fuhua Steel Rolling Co Ltd,1325.0,1,1,1,283759824.5657374,Fujian Fuhua New Materials Group Co Ltd,26.961516,119.654272
Guizhou Ganglian Industrial Group Co Ltd,1325.0,1,1,1,3047624310.877063,Guizhou Ganglian Industrial Group Co Ltd,27.615147,106.949926
Jai Balaji Industries Ltd,1323.0,2,1,1,675745315.8269312,Jai Balaji Durgapur Unit IV steel plant,23.483075,87.352189
Interpipe Ltd,1320.0,1,1,1,,Interpipe Steel Plant,48.498914,35.096336
New Zealand Steel Ltd,1320.0,1,1,1,,BlueScope New Zealand Steel Glenbrook,-37.206878,174.728098
DST Nghi Son Iron and Steel JSC,1310.0,1,1,1,,DST Nghi Son steel plant,19.367379,105.675841
Chengde Shengfeng Iron & Steel Co Ltd,1301.0,1,1,1,714450516.0938448,Chengde Shengfeng Iron and Steel Co Ltd,40.622466,118.490845
AG Siderurgica Balboa SA,1300.0,1,1,1,,Grupo Gallardo Siderurgica Balboa Jerez de los Caballeros steel plant,38.326405,-6.767326
Yesilyurt Demir Celik Endustri Ve Liman Isletmeleri AŞ,1300.0,1,1,1,,Yesilyurt Iron and Steel Tekkekoy plant,41.241199,36.442055
Hoa Sen Group,1300.0,1,1,1,,Hoa Sen Phu My steel plant,10.595295,107.044846
Siderurgica Sevillana SA,1300.0,1,1,1,,Riva Siderurgica Sevillana steel plant,37.362968,-5.886865
Diler Demir Celik Endustri ve Ticaret AŞ,1300.0,1,1,1,,Diler Iron and Steel Dilovasi plant,40.783161,29.533568
Sulb Company BSCC,1300.0,1,1,1,,Sulb Bahrain Al Hidd steel plant,26.198152,50.679893
Ajaokuta Steel Co Ltd,1300.0,1,1,1,,Ajaokuta Steel plant,7.511336,6.689364
Hengyang Valin Steel Tube Co Ltd,1300.0,1,1,1,8841440925.872505,Hengyang Valin Steel Tube Co Ltd,26.865484,112.576853
Iran Alloy Steel Co,1300.0,1,1,1,,Iran Alloy Steel Company Yazd plant,31.940106,54.037614
National Steel Complex Ltd,1280.0,1,1,1,,National Steel Complex Limited Karachi steel plant,24.794779,67.353032
Kocaer Çelik Sanayi ve Ticaret AŞ,1250.0,1,1,1,,Kocaer Çelik Aliaga steel plant,37.858651,27.845846
Acciaierie di Verona SpA,1250.0,1,1,1,,Pittini Acciaierie di Verona steel plant,45.42882,11.000861
Mass Iraq Iron and Steel Industry Co,1250.0,1,1,1,,Mass Iron and Steel Industry Co Sulaimaniya plant,35.660125,45.039062
Bashundhara Multi Steel Industries Ltd,1250.0,1,1,1,,Bashundhara Steel Mirsarai plant,22.719278,91.470382
Ekinciler Demir ve Celik Sanayi AŞ,1250.0,1,1,1,,Ekinciler Iron and Steel Iskenderun plant,36.690115,36.205739
Azerbaijan Integrated Steel Mill Complex,1250.0,1,1,1,,Azerbaijan Integrated Steel Mill Complex,40.721908,46.363526
Dnipro Metallurgical Plant PJSC,1230.0,1,1,1,,DCH Dnipro Metallurgical Plant,48.48079,34.978097
Tubos de Acero de Mexico SA,1230.0,1,1,1,,Tenaris TAMSA Veracruz steel plant,19.182499,-96.237284
Celsa Huta Ostrowiec SP zoo,1220.0,1,1,1,,Celsa Huta Ostrowiec steel plant,50.947305,21.448763
Feralpi Siderurgica SpA,1216.0,1,1,1,,Feralpi Siderurgica Lonato steel plant,45.460582,10.456748
Fujian Longgang New Materials Co Ltd,1210.0,1,1,1,81212030.76822813,Fujian Longgang New Materials Co Ltd,25.357408,117.362096
Charter Manufacturing Co Inc,1205.0,2,1,1,,Charter Steel Cleveland plant,41.443147,-81.659911
Ozkan Demir Celik Sanayi AŞ,1200.0,1,1,1,,Ozkan Iron and Steel Aliaga plant,38.737005,26.950824
United Steel Industries Co KSCC,1200.0,1,1,1,,United Steel Industrial Kuwait Steel Sharq plant,28.989306,48.128118
Guangxi Guigang Iron and Steel Group Guigang Guibao SPECIAL Steel Co Ltd,1200.0,1,1,1,6503602261.824279,Guangxi Guigang Iron and Steel Group Guigang Guibao Special Steel Co Ltd,23.089502,109.63938
Guangxi Liugang Zhongjin Stainless Steel Co Ltd,1200.0,1,1,1,221366537.43015066,Guangxi Liugang Zhongjin Stainless Steel Co Ltd,21.67261,109.741866
Solb Steel Co,1200.0,1,1,1,,Solb Steel Jizan plant,17.298475,42.352338
Asia United Steel,1200.0,1,1,1,,Asia United Steel plant,43.600662,76.317112
Kazakhstal LLP,1200.0,1,1,1,,Kazakhstal steel plant,49.8902647,73.7561639
Yunnan Qujing Iron & Steel Group Yue Steel Iron & Steel Co Ltd,1200.0,1,1,1,135064897.5047968,Yunnan Qujing Iron & Steel Group Yue Steel Iron & Steel Co Ltd,25.304544,103.889418
Zhejiang Wantai Special Steel Co Ltd,1200.0,1,1,1,3208888731.268896,Zhejiang Wantai Special Steel Co Ltd,30.944342,120.971803
Acerinox Europa SAU,1200.0,1,1,1,,Acerinox Europa Los Barrios steel plant,36.181686,-5.426626
Ussuri Capital,1200.0,1,1,1,,Ussuri Capital Romania steel plant,44.133338,28.64001
Koc Metalurji AŞ,1200.0,1,1,1,,Koc Metallurgical Toprakkale steel plant,37.01488,36.104416
AFV Acciaierie Beltrame SpA,1200.0,1,1,1,,AFV Accaierie Beltrame Vicenza steel plant,45.522097,11.499295
Halyvourgiki SA,1200.0,1,1,1,,Halyvourgiki Eleusis steel plant,38.043873,23.508083
Bafgh Mineral Complex Iron & Steel Co,1200.0,1,1,1,,Bafgh Mineral Complex Iron and Steel Yazd plant,31.699307,55.440187
Khouzestan Oxin Steel Co,1200.0,1,1,1,,Khouzestan Oxin Steel,31.277236,48.747422
Egyptian American Steel Rolling Company SAE,1200.0,1,1,1,,Egyptian American Steel Rolling Company Sadat City plant,30.389174,30.571894
Shanxi Dongfang Hengliu Precision Casting Co,1200.0,1,1,1,586782703.6351858,Shanxi Dongfang Hengliu Precision Casting Co,36.080051,111.647754
natural person(s); Hubei Xinxin Steel Group Co Ltd,1200.0,1,1,1,1002488417.5250294,Daye Xinye Special Steel Co Ltd,30.067469,114.934091
Nucor Steel Tuscaloosa Inc,1200.0,1,1,1,,Nucor Steel Tuscaloosa plant,33.234761,-87.508498
Henan Fuhua Iron & Steel Group Co Ltd,1200.0,1,1,1,3251997907.564753,Henan Fuhua Steel Group Co Ltd,34.462949,113.700844
Huahong Iron and Steel Products Co Ltd,1200.0,1,1,1,468805622.32278705,Lishui Huahong Iron and Steel Products Co Ltd,28.090098,119.519509
JSW Ispat Special Products Ltd,1200.0,1,1,1,213067224.22470316,JSW Steel Raigarh steel plant,21.983709,83.238133
Anyang Huixin Special Steel Co Ltd,1200.0,1,1,1,3691623504.775808,Anyang Huixin Special Steel Co Ltd,36.152418,114.15839
SeAH Changwon Integrated Special Steel Corp,1200.0,1,1,1,,SeAH Changwon Integrated Special Steel plant,35.204191,128.604277
Moon Iron and Steel Company SAOC,1200.0,1,1,1,,Moon Iron & Steel Company Sohar plant,24.409437,56.520134
SeAh Steel Holdings Corp,1200.0,1,1,1,,SeAH Steel Pohang plant,35.991176,129.375791
Shaanxi Huaxin Special Steel Group Co Ltd,1200.0,1,1,1,179102021.36746305,Shaanxi Huaxin Special Steel Group Co Ltd,34.523278,109.986042
Vina One Steel Manufacturing Corp,1200.0,1,1,1,,Vina One Steel Ben Luc steel plant,10.636835,106.517595
Chadormalu Mining & Industrial Co,1200.0,1,1,1,,Chadormalu Mining and Industrial Company Yazd steel plant,32.387328,53.747706
Guilin Pinggang Iron and Steel Co Ltd,1200.0,1,1,1,33714093.6953855,Guilin Pinggang Iron and Steel Co Ltd,24.673567,110.78959
Wuhan Shunle Stainless Steel Co Ltd,1200.0,1,1,1,11843724400.76606,Wuhan Shunle Stainless Steel Co Ltd,30.394434,114.257701
Celsa France SAS,1200.0,1,1,1,,Celsa France Boucau steel plant,43.529693,-1.500971
Prakash Industries Ltd,1190.0,1,1,1,465552274.1725282,Prakash Industries Janjgir steel plant,22.004694,82.671666
Yazdani Steel and Power Ltd,1190.0,1,1,1,864289310.3874147,Yazdani Steel and Power Kalinganagar steel plant,20.928285,86.036604
Crest Steel and Power Pvt Ltd,1176.0,1,1,1,1306781871.7744355,Crest Steel and Power Mangatta steel plant,21.190313,81.19922
MSP Steel & Power Ltd,1173.0,1,1,1,122199505.11316605,MSP Steel & Power Raigarh plant,21.87673,83.554495
Guangxi Hezhou Kexinda Metal Products Co Ltd,1150.0,1,1,1,90031801.82740928,Guangxi Hezhou Kexinda Metal Products Co Ltd,23.979937,111.745037
Tianjin Rongcheng Group Tangshan Special Steel Co Ltd,1150.0,1,1,1,9710283612.501226,Tianjin Rongcheng Group Tangshan Special Steel Co Ltd,39.551552,118.137993
ETRHB Industrie SpA,1150.0,1,1,1,,ETRHB Annaba steel plant,36.834412,7.45494
Bangladesh Steel Re-Rolling Mills Ltd,1150.0,1,1,1,,BSRM Ltd Mirsarai steel plant,22.870631,91.545862
Yuxi Iron and Steel Group Zhenfei Iron and Steel Co Ltd,1110.0,1,1,1,106654789.90736285,Yuxi Iron and Steel Group Zhenfei Iron and Steel Co Ltd,24.074756,102.765983
Xinjiang Minxin Iron and Steel (Group) Minhang Special Steel Co Ltd,1110.0,1,1,1,1337515.1727294303,Xinjiang Minxin Iron and Steel Group Minhang Special Steel Co Ltd,44.080866,88.417209
Siam Yamato Steel Co Ltd,1100.0,2,1,1,,Siam Yamato Steel Map Ta Phut plant,12.674898,101.147002
Wuxi Xinsanzhou Special Steel Co Ltd,1100.0,1,1,1,11935089663.247892,Wuxi Xinsanzhou Steel Co Ltd,31.681005,120.251785
Jilinheng Precision Casting Technology Co Ltd,1100.0,1,1,1,10768816.011382872,Panshi Jianlong Iron and Steel Co Ltd,43.196537,126.00063
ABA Çelik Demir LŞ,1100.0,1,1,1,,Aba Iron and Steel Payas plant,36.747413,36.21733
Guangdong Guangqing Metal Technology Co Ltd,1100.0,1,1,1,5052871258.0219145,Posco Zhangjiagang Stainless Steel Co Ltd,31.980237,120.571455
Stahlwerk Thueringen GmbH,1100.0,1,1,1,,CSN Stahlwerk Thüringen Unterwellenborn steel plant,50.654574,11.43745
Gaolan County Lanxin Steel Co Ltd,1100.0,1,1,1,4705947.349746395,Lanxin Steel Group Co Ltd plant,36.488866,103.922
Hubei Wucheng Iron and Steel Group Co Ltd,1100.0,1,1,1,14250230836.869875,Hubei Wucheng Iron and Steel Group Co Ltd,30.341239,114.857744
ArcelorMittal Hamburg GmbH,1100.0,1,1,1,,ArcelorMittal Hamburg steel plant,53.522601,9.900749
Novorossiysk Rolling Plant LLC,1100.0,1,1,1,,Novorossiysk Rolling Plant Rostov,47.740457,40.189445
SN SEIXAL Siderurgia Nacional SA,1100.0,1,1,1,,SN SEIXAL Siderurgia Nacional steel plant,38.616023,-9.068527
Ovako AB,1075.0,2,2,1,,Ovako Imatra steel plant,61.149466,28.798774
Kapila Metals Pvt Ltd,1074.0,1,1,1,100155279.26306468,Kapila Metals Jalna steel plant,19.874223,75.817553
GPH Ispat Ltd,1051.0,1,1,1,,GPH Steel Sitakunda plant,22.536569,91.700729
Eden Flame Sdn Bhd,1050.0,1,1,1,,Esteel Eden Flame Johor steel plant,1.451512,103.917306
Yazici Demir Celik Sanayi ve Turizm Ticaret AŞ,1050.0,1,1,1,,Yazici Iron and Steel Iskenderun plant,36.685932,36.206275
Sunflag Iron and Steel Co Ltd,1025.0,1,1,1,158719364.06818208,Sunflag Iron and Steel plant,21.232929,79.632398
Guangdong Taidu Iron & Steel Co Ltd,1020.0,1,1,1,1746497357.0257854,Guangdong Taidu Iron & Steel Co Ltd,23.504558,112.962693
Guizhou Hexing Metal Products Co Ltd,1020.0,1,1,1,30310794.301979743,Guizhou Hexing Steel Co Ltd,26.509525,107.570458
Arjas Steel Pvt Ltd,1005.0,1,1,1,216622786.99645334,Arjas Steel Tadipatri plant,14.873471,78.048425
Siderurgica Norte Brasil SA,1004.0,1,1,1,,Sinobras Marabá steel plant,-5.414287,-49.081305
Outokumpu Stainless USA LLC,1000.0,1,1,1,,Outokumpu Stainless USA steel plant,31.148179,-87.98866
Xinjiang Yili Iron and Steel Co Ltd,1000.0,1,1,1,36347068.67769812,Xinjiang Yili Iron and Steel Co Ltd,43.526808,83.294323
Premium Steel and Mines Ltd,1000.0,1,1,1,,Premium Steel Warri plant,5.480763,5.769839
Cambodia Iron & Steel Mining Industry Group Co Ltd,1000.0,1,1,1,,Cambodia Iron and Steel Preah Vihear Plant,13.366642,105.118129
Amreli Steels Ltd,1000.0,1,1,1,,Amreli Steels Dhabeji plant,24.800326,67.504851
HES Hennigsdorfer Elektrostahlwerke GmbH,1000.0,1,1,1,,Riva Hennigsdorfer Electric Steel Works,52.650903,13.212683
Neyriz Ghadir Steel Co,1000.0,1,1,1,,Neyriz Ghadir Steel Company Fars plant,29.168087,54.621487
Xinjiang Da'an Special Steel Co Ltd,1000.0,1,1,1,21656190.748155303,Xinjiang Daan Special Steel Co Ltd,42.700465,93.542466
Wuzhou Yongda Special Steel Co Ltd,1000.0,1,1,1,607979569.3111423,Wuzhou Yongda Special Steel Co Ltd,23.520307,111.229981
Perfect Channel Sdn Bhd,1000.0,1,1,1,,Perfect Channel Gurun steel plant,5.778871,100.49907
Yieh United Steel Corp,1000.0,1,1,1,,Yieh United Steel Kaohsiung plant,22.830857,120.300604
Walsin Lihwa Corp,1000.0,1,1,1,,Walsin Lihwa Tainan stainless steel plant,23.295835858147463,120.24399172517494
Fujian Hongfeng Industrial Group Co Ltd,1000.0,1,1,1,29883675.310433295,Fujian Hongfeng Industrial Group Co Ltd,26.868423,117.776369
Weglokoks Stal SP zoo,1000.0,1,1,1,,Weglokoks Ruda Slaska steel plant,50.289858,18.874414
National Steel Co,1000.0,1,1,1,,Al Ittefaq National Steel Dammam plant,26.244786,49.969064
Arfa Iron and Steel Co,1000.0,1,1,1,,Arfa Iron and Steel Yazd plant,32.39309,53.7566
Jilin Steel Group Taihua Metal Equipment Manufacture Co Ltd,1000.0,1,1,1,912548532.864007,Jilin Steel Group Taihua Metal Equipment Manufacture Co Ltd,44.138826,125.914941
Tosyali Iron and Steel Angola SA; Sonangol EP,1000.0,1,1,1,,Tosyali Sonangol Kassinga Iron and Steel plant,-15.263743,16.065494
Ittehad Steels Pvt Ltd,1000.0,1,1,1,,Ittehad Steel Faisalabad plant,31.643426,73.198542
Hellenic Halyvourgia SA,1000.0,1,1,1,,Hellenic Halyvourgia Velestino steel plant,39.38588,22.80745
Ferriera Valsabbia SpA,1000.0,1,1,1,,Ferriera Valsabbia Odolo steel plant,45.642905,10.380199
Unitex Steel Mills Ltd,1000.0,1,1,1,,Unitex Steel Mills Feni steel plant,22.945182,91.512387
Tung Ho Steel Vietnam Corp Ltd,1000.0,1,1,1,,Tung Ho Steel Phu My plant,10.551445,107.04368
Vina Kyoei Steel Ltd Co,1000.0,1,1,1,,Vina Kyoei Steel Phu My plant,10.601423,107.040679
SUE DPR UMP,1000.0,1,1,1,,Yuzovsky Metallurgical Plant,47.982276,37.810634
Xinjiang Ka Steel Group Co,1000.0,1,1,1,4239302.117930701,Xinjiang Ka Steel Group Co,39.142997,76.161589
Posco Vietnam Co Ltd,1000.0,1,1,1,,POSCO Vietnam Phu My steel plant,10.560316,107.02684
PT Mandan Steel,1000.0,1,1,1,,CNR Mandan Steel South Kalimantan plant,-3.339296,115.927125
Peiner Traeger GmbH,1000.0,1,1,1,,Salzgitter Peiner Träger Peine steel plant,52.313935,10.258482
Daehan Steel Co Ltd,1000.0,1,1,1,,DaehanSteel Noksan steel plant,35.099098,128.860339
Dazhou Hangda Steel Co Ltd,1000.0,1,1,1,49607605.43538932,Hangda Steel Co Ltd,31.435149,107.685981
Maghreb Steel SA,1000.0,1,1,1,,Mahgreb Steel Bled Solb plant,33.632918,-7.434084
African Natural Resources & Mines Ltd,1000.0,1,1,1,,African Natural Resources and Mines Kaduna steel plant,9.462715,7.368
Kurdistan Steel Co,1000.0,1,1,1,,Kurdistan Steel Qorveh steel plant,35.936932,47.762024
Shengli (Qingyuan) Steel Products Co Ltd,1000.0,1,1,1,1383225148.037752,"Shengli (Qingyuan) Steel Products Co., Ltd.",23.553041,113.119942
Moldova Steel Works JSC,1000.0,1,1,1,,JSC Moldova Steel Works,47.783771,29.02835
Sinosteel Corp Ltd,1000.0,1,1,1,,Sinosteel Kenya steel plant,0.461697,37.991283
Mescier Demir Celik AŞ,1000.0,1,1,1,,Mescier Iron and Steel Bartin plant,41.565932,32.427758
Ashinskiy Metzavod PJSC,1000.0,1,1,1,,Ashinskiy Metallurgical plant,54.99484,57.277548
Dniprospetsstal Plant PJSC,1000.0,1,1,1,,Dniprospetstaal Zaporizhzhia steel plant,47.8599249,35.1613272
Nervacero SA,1000.0,1,1,1,,Celsa Nervacero steel plant,43.30806,-3.026309
Eqlid Pars Steel Co,1000.0,1,1,1,,Eqlid Steel Pars plant,30.944867,52.892849
Vallourec Soluções Tubulares do Brasil SA,1000.0,1,1,1,,Vallourec Jeceaba steel plant,-20.582683,-43.971555
Devki Group,1000.0,1,1,1,,Devki Group Tororo steel plant,0.681522,34.178037
TT Iron Steel Company Ltd,1000.0,1,1,1,,TT Iron and Steel Point Lisas steel plant,10.403605,-61.482939
Jiangxi Taixin Iron & Steel Co Ltd,1000.0,1,1,1,24651705.83317486,Jiangxi Taixin Iron and Steel Co Ltd,28.60445,118.163615
Ardakan Steel Complex Co,1000.0,1,1,1,,Ardakan Steel Yazd plant,32.373942,53.759655
Çağ Çelik Iron and Steel Inc,1000.0,1,1,1,,Cag Celik steel plant,41.23542,32.645679
Abu Dhabi National for Building Materials Co PJSC,1000.0,1,1,1,,BILDCO Abu Dhabi steel plant,24.37872,54.475153
Jingzhou Qunli Metal Products Co Ltd,1000.0,1,1,1,118075214.85034539,Jingzhou Qunli Metal Products Co Ltd,30.3505,112.353782
Anhui Jingxian Longxin Iron and Steel Co Ltd,1000.0,1,1,1,271114715.91688704,Anhui Jingxian Longxin Iron and Steel Co Ltd,30.709058,118.436638
Devki Steel Mills Ltd,1000.0,1,1,1,,Devki Steel Mills Kwale plant,-3.788806,39.316741
Fushun Special Steel Co Ltd,999.0,1,1,1,8540543698.927486,Fushun Special Steel Co Ltd,41.838774,123.806586
Qianxinan Prefecture Juxin Industry & Trade General Co,990.0,1,1,1,259782939.28469855,Guizhou Juxin Iron and Steel Group Co Ltd,25.150857,105.041722
Topy Industries Ltd,960.0,1,1,1,6515425440.511312,Topy Industries Toyohashi steel plant,34.719644,137.322259
Fujian Qingtuo New Material Co Ltd,958.0,1,1,1,11794218.386546498,Fujian Qingtuo New Material Co Ltd,26.779301,119.767935
Chelyabinskiy Truboprokatnyi Zavod JSC,950.0,1,1,1,,Pervouralsk Pipe Plant,56.90205,59.992198
Taganrogskiy Metallurgicheskiy Zavod JSC,950.0,1,1,1,,TMK Taganrog Metallurgical Plant,47.241557,38.928584
Duferco Travi e Profilati SpA,950.0,1,1,1,,Duferco Travi e Profilati San Zeno Naviglio steel plant,45.478363,10.209234
Jinye Steel Group Co Ltd,950.0,1,1,1,1182364306.7889879,Jinye Iron and Steel Group Co Ltd,36.148131,113.209523
Severskiy Trubnyi Zavod JSC,950.0,1,1,1,,TMK Seversky Pipe plant,56.478428,60.249411
Yuxi Xinxing Iron & Steel Co Ltd,948.0,1,1,1,204193710.09956524,WISCO Group Kunming Steel Co Ltd Yuxi Xinxing Steel Company,24.249024,102.521747
Longchuan Hanghui Steel Co Ltd,930.0,1,1,1,1069393003.8951043,Longchuan Hanghui Steel Co Ltd,24.113189,115.215068
Fengshun County Dongfang Metal Casting Co Ltd,930.0,1,1,1,453215982.2079722,Fengshun County Dongfang Metal Continuous Casting Co Ltd,23.749104,116.138262
Guangdong Taiye Hongda Steel Co Ltd,920.0,1,1,1,1746497357.0257854,"Guangdong Taiye Hongda Steel Co., Ltd.",23.54332928798603,112.99082407443541
Guangdong Shengye Steel Co Ltd,920.0,1,1,1,106278554.73135719,Guangdong Shengye Steel Co Ltd,24.008564,114.797328
Al Atoun Steel Industries,910.0,1,1,1,,Al Atoun Yanbu steel plant,24.029,38.180077
Ann Joo Integrated Steel Sdn Bhd,900.0,1,1,1,,Ann Joo Integrated Steel Penang plant,5.380391,100.377598
PT Jakarta Prima Steel Industries,900.0,1,1,1,,Jakarta Prima Steel Industries plant,-6.181643,106.932331
Baotou Jiyu Steel Co Ltd,900.0,1,1,1,563557793.4713724,Inner Mongolia Baotou Jiyu Iron and Steel Co Ltd Hondlon District,40.662343,109.696243
Ezz Steel Co,900.0,1,1,1,,Ezz Steel Rebar Sadat City plant,30.382179,30.563029
Aperam Inox America do Sul SA,900.0,1,1,1,,Aperam Timóteo steel plant,-19.531272,-42.639979
Guangdong Shiji Qingshan Nickel Industry Co Ltd,900.0,1,1,1,546325381.749661,Guangdong Shiji Qingshan Nickel Industry Co Ltd,21.687053,111.848893
Volzhskiy Trubnyi Zavod JSC,900.0,1,1,1,,Volzhsky Pipe Plant,48.804332,44.79408
Nucor Steel Memphis Inc,891.0,1,1,1,,Nucor Steel Memphis plant,35.048395,-90.163033
Guangshui Huaxin Smelt Industry Co Ltd,869.0,1,1,1,39099648.249599755,Guangshui Huaxin Metallurgical Industry Co Ltd,31.50221,114.008142
Çebitaş Demir Çelik Endüstrisi AŞ,860.0,1,1,1,,Cebitas steel plant,38.74074,26.951743
Guangdong Hongde Steel Group Co Ltd,860.0,1,1,1,2371893017.6045723,Guangdong Hongde Steel Group Co Ltd,24.672351,113.535574
